1056338697_4f7d7ce270.jpg#zhm#0 一个穿蓝色衬衫的金发女人似乎要搭车。
2208310655_a3d83080c5.jpg#zhm#0 一个男孩在亲吻一个女人的脸颊，旁边的一个女孩睁大眼睛伸长舌头。
2208310655_a3d83080c5.jpg#zhm#1 一个妈妈和两个孩子在摆鬼脸。
2208310655_a3d83080c5.jpg#zhm#2 一个成年人和两个孩子，一个孩子在做鬼脸而另一个在亲吻成年人的脸颊。
2208310655_a3d83080c5.jpg#zhm#3 男孩亲吻着女人，女孩伸出她的舌头。
2208310655_a3d83080c5.jpg#zhm#4 母亲戴着两个男孩，一个在扮演傻瓜，另一个给了她一个吻。
2215136723_960edfea49.jpg#zhm#0 一个孩子双臂展开，在积雪覆盖的山上行走。
2215136723_960edfea49.jpg#zhm#1 一个小男孩在雪地里玩耍。
2215136723_960edfea49.jpg#zhm#2 一个穿着红色夹克的孩子在雪地上保持平衡。
2215136723_960edfea49.jpg#zhm#3 一个穿着橙色衣服的小孩在雪地保持平衡。
2215136723_960edfea49.jpg#zhm#4 穿着橘黄色和黑色衣服的小男孩在雪地里步行。
2216695423_1362cb25f3.jpg#zhm#0 一群白色和橙色相间的大狗在草地上。
2216695423_1362cb25f3.jpg#zhm#1 狗玩棍子。
2216695423_1362cb25f3.jpg#zhm#2 四只狗在外面一起玩棍子。
2216695423_1362cb25f3.jpg#zhm#3 四只狗互相玩着木棍。
2216695423_1362cb25f3.jpg#zhm#4 狗群正在户外玩一根棒子。
2218609886_892dcd6915.jpg#zhm#0 一个男人坐在门外的地板上，他的头枕在他的下巴上。
2218609886_892dcd6915.jpg#zhm#1 一个穿着全黑色衣服的人坐在黄色的墙壁下。
2218609886_892dcd6915.jpg#zhm#2 一个戴着深蓝色帽子的人斜靠着一个建筑物坐在地上。
2218609886_892dcd6915.jpg#zhm#3 一个带着黑色帽子，穿着黑色外套和裤子的男人坐在一个建筑的门口。
2218609886_892dcd6915.jpg#zhm#4 戴着黑色帽子的那个男人正坐在一扇绿色门旁边的地上。
2224450291_4c133fabe8.jpg#zhm#0 热带环境中的一个人举着相机挡在脸前。
2224450291_4c133fabe8.jpg#zhm#1 一个穿着蓝衣服的人照了一张正给他照相的人的照片。
2224450291_4c133fabe8.jpg#zhm#2 一个男人用一个银色的相机拍照。
2224450291_4c133fabe8.jpg#zhm#3 带着相机的穿着蓝色衬衫的男人。
2224450291_4c133fabe8.jpg#zhm#4 那个男人在户外，拿着一个相机。
2225231022_1632d0a5aa.jpg#zhm#0 一个男人和两个女人站在台阶前面的木杆前。
2225231022_1632d0a5aa.jpg#zhm#1 三个学生在楼梯前站在一起。
2225231022_1632d0a5aa.jpg#zhm#2 三个在学校里的年轻人看着相机。
2225231022_1632d0a5aa.jpg#zhm#3 两个女人和一个男人都穿着黑色夹克微笑着。
2225231022_1632d0a5aa.jpg#zhm#4 两个女人和一个男人对着相机微笑。
2228022180_9597b2a458.jpg#zhm#0 一群亚洲孩子在台阶上。
2228022180_9597b2a458.jpg#zhm#1 一群亚洲儿童坐着或站着在台阶上。
2228022180_9597b2a458.jpg#zhm#2 一群穿着蓝色制服的孩子坐在台阶上。
2228022180_9597b2a458.jpg#zhm#3 穿着校服的小孩子聚集在台阶上。
2228022180_9597b2a458.jpg#zhm#4 许多学校的孩子穿着一样的制服正坐在台阶上。
2229179070_dc8ea8582e.jpg#zhm#0 一只棕色的狗跳过三个圈。
2229179070_dc8ea8582e.jpg#zhm#1 一只狗正跳过人们拿着的铁环。
2229179070_dc8ea8582e.jpg#zhm#2 一只狗跳过一个黑色的呼啦圈。
2229179070_dc8ea8582e.jpg#zhm#3 一个中等大小的狗跳过人们举着的铁圈。
2229179070_dc8ea8582e.jpg#zhm#4 一个训练员在他的狗旁边跑着，而他的狗跳过许多套圈。
223299142_521aedf9e7.jpg#zhm#0 一个在陡峭多雪的山中的男人。
223299142_521aedf9e7.jpg#zhm#1 一个人从陡峭、冰冻的山坡下山。
223299142_521aedf9e7.jpg#zhm#2 草地上都结了冰，背景中是一座山。
223299142_521aedf9e7.jpg#zhm#3 这个人正爬上一座陡峭的雪山。
223299142_521aedf9e7.jpg#zhm#4 日落时那个人在山的高处。
2238019823_79318d1f11.jpg#zhm#0 雾天中一个人在金门大桥下冲浪。
2238019823_79318d1f11.jpg#zhm#1 冲浪者在一座红色的桥下冲浪。
2238019823_79318d1f11.jpg#zhm#2 雾天在一座桥附近的冲浪运动员。
2238019823_79318d1f11.jpg#zhm#3 桥下的冲浪者。
2238019823_79318d1f11.jpg#zhm#4 在一个大雾天，一个人男人在金门大桥下冲浪。
2238759450_6475641bdb.jpg#zhm#0 一个卷发女孩拖着一只灰色充气筏，一只红色大桨插入水中。
2238759450_6475641bdb.jpg#zhm#1 一个带着黄色头巾的女孩正将一艘船拉向水里。
2238759450_6475641bdb.jpg#zhm#2 一个女人将一艘充气艇拉入水中。
2238759450_6475641bdb.jpg#zhm#3 一个女人把她的充气筏拉进水里。
2238759450_6475641bdb.jpg#zhm#4 有个人正在拉一辆充气船，里面放着一支桨。
2239938351_43c73c887c.jpg#zhm#0 一只大黑狗嘴里叼着蓝色的球，旁边有两只小狗在跑。
2239938351_43c73c887c.jpg#zhm#1 一只黑色杜宾犬，一只棕白相间的柯基犬和一只黑棕白相间的科技犬正在草地上玩一个蓝色的球。
2239938351_43c73c887c.jpg#zhm#2 三只狗，其中一只叼着一个蓝色的球。
2239938351_43c73c887c.jpg#zhm#3 三只狗在草地上，一只狗的嘴里有一个蓝色的球。
2239938351_43c73c887c.jpg#zhm#4 三个正在玩一个蓝色球的狗。
224369028_b1ac40d1fa.jpg#zhm#0 一个金发小女孩正站在喷泉的前面。
224369028_b1ac40d1fa.jpg#zhm#1 一个年轻的金发女孩站在一个喷泉的大栅栏前。
224369028_b1ac40d1fa.jpg#zhm#2 一个站在喷泉前的小女孩。
224369028_b1ac40d1fa.jpg#zhm#3 一个穿着白色裙子的女孩站在围栏和喷泉前。
224369028_b1ac40d1fa.jpg#zhm#4 穿着白色连衣裙的小女孩正站在一个巨大的公园喷泉前。
2247889670_413db8094b.jpg#zhm#0 一个男人和一只狗在海滩上的浅滩跑过。
2247889670_413db8094b.jpg#zhm#1 一个男人和他的狗走在一个冻住的池塘的冰面上。
2247889670_413db8094b.jpg#zhm#2 一个穿着冬天衣服的人和一只狗在海滩上。
2247889670_413db8094b.jpg#zhm#3 一个穿着棕色夹克的男人在沙滩上跑向一个正跑向他的狗。
2247889670_413db8094b.jpg#zhm#4 一个穿着夹克的男人的背影和一只冲他跑来的狗。
2248487950_c62d0c81a9.jpg#zhm#0 一个男人和一个女人等待过马路。
2248487950_c62d0c81a9.jpg#zhm#1 一个男人在用手机打电话，另一个男人坐在轮椅上。
2248487950_c62d0c81a9.jpg#zhm#2 一个女人穿过街道，在她的旁边是一个打电话的男人。
2248487950_c62d0c81a9.jpg#zhm#3 一个穿着外套的女人和一个穿着运动服打着电话的男人穿过马路。
2248487950_c62d0c81a9.jpg#zhm#4 一个女人正试图在一个开着小型摩托车的男人之前过马路。
2251747182_6b67a3ab8b.jpg#zhm#0 一个男孩在体育馆里打篮球。
2251747182_6b67a3ab8b.jpg#zhm#1 一个小男孩拿着篮球准备投篮。
2251747182_6b67a3ab8b.jpg#zhm#2 一个打篮球的年轻男孩正在做拍照准备。
2251747182_6b67a3ab8b.jpg#zhm#3 穿着橙色运动服的男孩运着橙色的奇才篮球。
2251747182_6b67a3ab8b.jpg#zhm#4 穿着红色短裤的小男孩准备射篮了。
2256133102_e2c8314ecb.jpg#zhm#0 一个穿蓝裤子的男人脱离下面是水的悬崖。
2256133102_e2c8314ecb.jpg#zhm#1 一个男人悬挂在水边悬崖上的一条绳索上。
2256133102_e2c8314ecb.jpg#zhm#2 一个人借着绳索从悬崖上向着水里下降。
2256133102_e2c8314ecb.jpg#zhm#3 一个人用一根绳子悬挂在悬崖上。
2256133102_e2c8314ecb.jpg#zhm#4 有人通过一条绳子把自己悬挂在海上的一面岩壁上。
2265096094_8cc34d669c.jpg#zhm#0 一头驴拉着里面坐着一个男孩的车，刹车了。
2265096094_8cc34d669c.jpg#zhm#1 一头驴拉着车，有一个男人在车上。
2265096094_8cc34d669c.jpg#zhm#2 几棵棕榈树的旁边有一只骡子拉着一个载着一名男子的货车。
2265096094_8cc34d669c.jpg#zhm#3 在一条泥泞的小路上一头骡子拉着一个坐着人的马车。
2265096094_8cc34d669c.jpg#zhm#4 一个人正在一个运货车斗里被一头驴拉着走。
226607225_44d696db6b.jpg#zhm#0 一条绿色的鱼从水里跳了出来。
226607225_44d696db6b.jpg#zhm#1 一只巨大的鱼跃出了水面。
226607225_44d696db6b.jpg#zhm#2 一只大的蓝绿色的鱼从水中跳出。
226607225_44d696db6b.jpg#zhm#3 一个巨大的绿色的鱼跳出水面。
226607225_44d696db6b.jpg#zhm#4 绿色的大鱼正从水中跳出来。
2271755053_e1b1ec8442.jpg#zhm#0 一个穿着红色短裤的男孩在篮球场上打篮球。
2271755053_e1b1ec8442.jpg#zhm#1 一个小男孩正在一场正式比赛中打篮球。
2271755053_e1b1ec8442.jpg#zhm#2 那个男孩正在打篮球。
2271755053_e1b1ec8442.jpg#zhm#3 带着球的男孩奔跑着并且向上看。
2271755053_e1b1ec8442.jpg#zhm#4 孩子们正在室内打篮球。
2274992140_bb9e868bb8.jpg#zhm#0 房间内，一个大些的男孩看着一个小孩子玩弹簧。
2274992140_bb9e868bb8.jpg#zhm#1 一个年幼的孩子在家居室里玩机灵鬼玩具，哥哥看着他。
2274992140_bb9e868bb8.jpg#zhm#2 两个小孩子，其中一个在玩一个弹簧。
2274992140_bb9e868bb8.jpg#zhm#3 两个小孩子在客厅玩着一些玩具。
2274992140_bb9e868bb8.jpg#zhm#4 两个在一个沙发前玩耍的年幼的孩子。
2280525192_81911f2b00.jpg#zhm#0 一只棕色黑色相间的狗在高高的草间跳跃。
2280525192_81911f2b00.jpg#zhm#1 一只狗在高高的草丛中奔跑。
2280525192_81911f2b00.jpg#zhm#2 一只戴着红色挽具的狗跑着穿过一片田野。
2280525192_81911f2b00.jpg#zhm#3 带着红背带的黑棕色的狗在高高的草中。
2280525192_81911f2b00.jpg#zhm#4 在杂草中奔跑的狗。
2283966256_70317e1759.jpg#zhm#0 一只棕色的狗在河边的岩石上行走。
2283966256_70317e1759.jpg#zhm#1 一只狗走过河边的碎石。
2283966256_70317e1759.jpg#zhm#2 一只塌鼻子狗在河岸上嗅着一些东西。
2283966256_70317e1759.jpg#zhm#3 一只棕色的大狗正沿着河边散步。
2283966256_70317e1759.jpg#zhm#4 一只棕色的大牛头犬沿着一条小溪的岩石岸边行走着。
2285570521_05015cbf4b.jpg#zhm#0 越野滑雪者穿过雪地时身后留下一行足迹。
2285570521_05015cbf4b.jpg#zhm#1 一个孤独的滑雪者走过被雪覆盖的岸边，背后是一些树木。
2285570521_05015cbf4b.jpg#zhm#2 一个人在雪地上徒步旅行。
2285570521_05015cbf4b.jpg#zhm#3 一个人滑下一个白雪覆盖的山，身后投下长长的影子。
2285570521_05015cbf4b.jpg#zhm#4 在一个晴朗的天气，滑雪者从雪丘上滑下去。
2288099178_41091aa00c.jpg#zhm#0 孩子们滑冰，人们在一旁观看。
2288099178_41091aa00c.jpg#zhm#1 两个男孩在滑冰，后面有其他人。
2288099178_41091aa00c.jpg#zhm#2 两个在户外溜冰场中进行溜冰比赛的男孩。
2288099178_41091aa00c.jpg#zhm#3 两个男孩穿着溜冰鞋赛跑，其他人看着。
2288099178_41091aa00c.jpg#zhm#4 两个孩子正在冰上快速的滑行。
2289068031_fe26990183.jpg#zhm#0 一个摩托车手骑着车在空中越过障碍。
2289068031_fe26990183.jpg#zhm#1 一辆摩托车跳过一个杆。
2289068031_fe26990183.jpg#zhm#2 摄影师在拍摄一个人骑着摩托跃过一根高竿。
2289068031_fe26990183.jpg#zhm#3 一个专业的泥地自行车手做特技表演并被录像。
2289068031_fe26990183.jpg#zhm#4 骑着摩托车的男子在空中表演了一个特技。
2292406847_f366350600.jpg#zhm#0 小舟里的人在蓝色水面上划船。
2292406847_f366350600.jpg#zhm#1 一个男人在划一艘叫做Neptuno的小船。
2292406847_f366350600.jpg#zhm#2 一个人划着他的船。
2292406847_f366350600.jpg#zhm#3 一个人划着船。
2292406847_f366350600.jpg#zhm#4 渔夫划着他的船去一个新地方。
2295216243_0712928988.jpg#zhm#0 一个女孩在沙滩上与成人一起跳舞。
2295216243_0712928988.jpg#zhm#1 一群人在一辆卡车前面的沙滩上跳舞。
2295216243_0712928988.jpg#zhm#2 沙滩上，家人和朋友们在他们的汽车旁边跳舞。
2295216243_0712928988.jpg#zhm#3 很多人正在沙漠里跳舞。
2295216243_0712928988.jpg#zhm#4 几个人正在沙滩上跳舞。
2295750198_6d152d7ceb.jpg#zhm#0 一个女孩单腿站在田地中间。
2295750198_6d152d7ceb.jpg#zhm#1 一个在草坪上伸出腿的女孩。
2295750198_6d152d7ceb.jpg#zhm#2 一个小女孩脚踢到空中。
2295750198_6d152d7ceb.jpg#zhm#3 一个穿着很暖和的女孩在户外踢着腿。
2295750198_6d152d7ceb.jpg#zhm#4 在田野里散步的人。
229862312_1a0ba19dab.jpg#zhm#0 一只棕色的小狗躺在草地上。
229862312_1a0ba19dab.jpg#zhm#1 一只狗躺在长长的绿草上。
229862312_1a0ba19dab.jpg#zhm#2 一只狗在草地上滚动。
229862312_1a0ba19dab.jpg#zhm#3 一只狗在草地上翻滚。
229862312_1a0ba19dab.jpg#zhm#4 一只金色的狗正在草地上躺在自己的后背上。
2300168895_a9b83e16fc.jpg#zhm#0 一只棕色的狗趴在草地上，旁边有一个白色的咀嚼玩具。
2300168895_a9b83e16fc.jpg#zhm#1 一只棕色的狗躺在草地上玩着一块白色的布。
2300168895_a9b83e16fc.jpg#zhm#2 一只坐在草地上的棕色的狗。
2300168895_a9b83e16fc.jpg#zhm#3 一只狗坐在草地上。
2300168895_a9b83e16fc.jpg#zhm#4 橘黄色的狗和一块打了结的破布在草地上。
2301525531_edde12d673.jpg#zhm#0 一只黑白相间的狗在公园里的雪地里跳跃着。
2301525531_edde12d673.jpg#zhm#1 一只黑白的狗正在一个雪后大的公园里奔跑。
2301525531_edde12d673.jpg#zhm#2 一只黑白相间的狗在一颗树和长凳边的雪地上奔跑。
2301525531_edde12d673.jpg#zhm#3 一只白黑色的小狗在雪地里跳跃。
2301525531_edde12d673.jpg#zhm#4 在雪里奔跑的黑白相间的狗。
2306674172_dc07c7f847.jpg#zhm#0 穿蓝色衬衫的男孩骑着滑板跳下楼梯。
2306674172_dc07c7f847.jpg#zhm#1 一个人在白色台阶上踏着滑板飞在半空。
2306674172_dc07c7f847.jpg#zhm#2 一个滑板运动员踩着他的滑板从楼梯上飞跃下来。
2306674172_dc07c7f847.jpg#zhm#3 一个滑板者滑过白色的台阶。
2306674172_dc07c7f847.jpg#zhm#4 滑板手跳下建筑物的台阶。
2307118114_c258e3a47e.jpg#zhm#0 一个戴着黑帽子穿黑衬衫的人微笑着，拿着一个黑白灰相间的长方形的东西。
2307118114_c258e3a47e.jpg#zhm#1 一个男人微笑着并拿着一个产品展示，看起来像要销售这个产品。
2307118114_c258e3a47e.jpg#zhm#2 一个穿着黑色衬衣戴着棒球帽的男人微笑着。
2307118114_c258e3a47e.jpg#zhm#3 这个人穿着黑色衬衫，戴着帽子，微笑着。
2307118114_c258e3a47e.jpg#zhm#4 有一个穿着黑色衬衫戴着一顶黑色帽子微笑着的男人。
2308271254_27fb466eb4.jpg#zhm#0 一只灰色的狗在浅水中追逐一只棕色的狗。
2308271254_27fb466eb4.jpg#zhm#1 一只黑色的小狗在水面上追逐一只毛茸茸的棕色小狗。
2308271254_27fb466eb4.jpg#zhm#2 两只狗正在穿过靠近海岸的水域。
2308271254_27fb466eb4.jpg#zhm#3 两只狗在湖里玩耍。
2308271254_27fb466eb4.jpg#zhm#4 两只在岸上玩耍的狗。
2308978137_bfe776d541.jpg#zhm#0 一群男孩坐着一辆车。
2308978137_bfe776d541.jpg#zhm#1 一大群人穿着相似的衣服搭乘着同一辆车。
2308978137_bfe776d541.jpg#zhm#2 几乎有两打人骑在马路上的一辆货车上。
2308978137_bfe776d541.jpg#zhm#3 一辆挤满了人的车。
2308978137_bfe776d541.jpg#zhm#4 很多背着包的年轻人正或是攀附在车上或是乘在车上。
2309860995_c2e2a0feeb.jpg#zhm#0 一个穿着一件黑色大衣的红头发的女人，她身后走着一个穿着白色衣服的男人。
2309860995_c2e2a0feeb.jpg#zhm#1 一个穿着黑色外套、戴着墨镜的妇女站在一个背着背包走开的男人前面。
2309860995_c2e2a0feeb.jpg#zhm#2 一个戴着墨镜穿着黑色外套的女人在走路。
2309860995_c2e2a0feeb.jpg#zhm#3 有一个女人穿着一个黑色外套带着墨镜，一个男人穿着白色衬衫背对着。
2309860995_c2e2a0feeb.jpg#zhm#4 身穿黑色大衣的女士正面对相机，而那个穿着蓝色衬衫的男人把脸转向别处。
2310126952_7dc86d88f6.jpg#zhm#0 从后面看一支狗拉雪橇的队伍。
2310126952_7dc86d88f6.jpg#zhm#1 一群狗在雪地上拉着东西。
2310126952_7dc86d88f6.jpg#zhm#2 一个从骑手的视角方向奔跑着的雪橇犬队。
2310126952_7dc86d88f6.jpg#zhm#3 一个雪橇犬队在这雪路上辛勤工作。
2310126952_7dc86d88f6.jpg#zhm#4 几只狗在雪地里被拴在一条线上。
2311690895_0d6efe11c8.jpg#zhm#0 一只棕色的狗向上看着，一个人的手指在它的嘴里。
2311690895_0d6efe11c8.jpg#zhm#1 一只狗咬某人的手指。
2311690895_0d6efe11c8.jpg#zhm#2 一只狗在咬着一个人的手指。
2311690895_0d6efe11c8.jpg#zhm#3 一个人将他或她的手放在狗的嘴里。
2311690895_0d6efe11c8.jpg#zhm#4 一个人碰了一只狗的牙齿。
2317714088_bcd081f926.jpg#zhm#0 一个人刚刚扔雪球，打在一个人背上。
2317714088_bcd081f926.jpg#zhm#1 在房子外棉的人们站在雪里。
2317714088_bcd081f926.jpg#zhm#2 人们站在一个房子的外面。
2317714088_bcd081f926.jpg#zhm#3 几个人站在一个房子前的一堆雪前，一个人铲着雪。
2317714088_bcd081f926.jpg#zhm#4 一些人因为屋外的雪堆聚集在了一起。
2333288869_8c01e4c859.jpg#zhm#0 一个男孩和一个女人走进海里。
2333288869_8c01e4c859.jpg#zhm#1 一个裸着上身的女人牵着她赤裸的孩子的手站在海浪里。
2333288869_8c01e4c859.jpg#zhm#2 一个女人和一个赤裸的小孩子走进海洋里。
2333288869_8c01e4c859.jpg#zhm#3 一个女人牵着一个孩子的手，走进水中。
2333288869_8c01e4c859.jpg#zhm#4 一个只穿着下身比基尼的女人牵着一个赤裸的女孩的手站在那里冲浪。
2339106348_2df90aa6a9.jpg#zhm#0 一个有着深棕色头发和眼睛的女孩围着蓝围巾站在一个穿着毛皮边的外套的女孩旁边。
2339106348_2df90aa6a9.jpg#zhm#1 一个亚洲男孩和一个亚洲女孩在一群人中微笑。
2339106348_2df90aa6a9.jpg#zhm#2 女孩们在人群中。
2339106348_2df90aa6a9.jpg#zhm#3 两个黑头发的女孩在人群中。
2339106348_2df90aa6a9.jpg#zhm#4 人群中，两个女孩的目光越过彼此正看向不同的方向。
2340206885_58754a799a.jpg#zhm#0 一群狗站在雪地里互相看着。
2340206885_58754a799a.jpg#zhm#1 三只狗在雪地上面对面。
2340206885_58754a799a.jpg#zhm#2 三只雪地里的狗。
2340206885_58754a799a.jpg#zhm#3 三只狗在雪地里相遇。
2340206885_58754a799a.jpg#zhm#4 三只在雪地里玩耍的狗。
2343525685_3eba3b6686.jpg#zhm#0 一个穿着棕色衬衫的黑发男子正在攀登灰色的石墙。
2343525685_3eba3b6686.jpg#zhm#1 一个抓着岩石墙面的人。
2343525685_3eba3b6686.jpg#zhm#2 一个爬上攀岩墙的人。
2343525685_3eba3b6686.jpg#zhm#3 一个人努力爬上一块岩石墙。
2343525685_3eba3b6686.jpg#zhm#4 一个带着眼镜的男人攀爬一面岩壁。
2345984157_724823b1e4.jpg#zhm#0 一只棕色的狗把自己抖干。
2345984157_724823b1e4.jpg#zhm#1 一只棕色的狗离开天然池塘后甩掉水。
2345984157_724823b1e4.jpg#zhm#2 一只棕色的狗抖掉水。
2345984157_724823b1e4.jpg#zhm#3 一只狗从水中出来后甩动身体。
2345984157_724823b1e4.jpg#zhm#4 一只灰色的狗正从他身上往外抖水。
2346401538_f5e8da66fc.jpg#zhm#0 一个拿着相机的女人对着镜头微笑。
2346401538_f5e8da66fc.jpg#zhm#1 一位戴着蓝色帽子，穿着红蓝相间的夹克的女士在一个三角架上设置一架照相机。
2346401538_f5e8da66fc.jpg#zhm#2 一个拿三脚架架着相机的女人在朝着另一台相机微笑。
2346401538_f5e8da66fc.jpg#zhm#3 拍摄照片的人。
2346401538_f5e8da66fc.jpg#zhm#4 穿着蓝色外套的女人正在另外两个女人前操作照相机。
2351479551_e8820a1ff3.jpg#zhm#0 一个穿着蓝色短裤的男孩在一棵树下做着后空翻。
2351479551_e8820a1ff3.jpg#zhm#1 一个人在半空坐着翻转。
2351479551_e8820a1ff3.jpg#zhm#2 一个年轻人后空翻过了一面水泥墙。
2351479551_e8820a1ff3.jpg#zhm#3 穿蓝色裤子的人在空中翻转。
2351479551_e8820a1ff3.jpg#zhm#4 穿着蓝色裤子的男孩正在后空翻的中间。
2354540393_a149722680.jpg#zhm#0 一个小女孩向后倒在床上。
2354540393_a149722680.jpg#zhm#1 一个小女孩在床上跳。
2354540393_a149722680.jpg#zhm#2 一个小女孩正高兴地站在房子里。
2354540393_a149722680.jpg#zhm#3 两个孩子在床上玩着遥控器。
2354540393_a149722680.jpg#zhm#4 年轻的穿着蓝色牛仔裤的金发女孩落回床上而另一个孩子在看着。
2358554995_54ed3baa83.jpg#zhm#0 一个孩子在滑梯上玩得很开心。
2358554995_54ed3baa83.jpg#zhm#1 一个小孩正抓着一个操场滑梯的上部。
2358554995_54ed3baa83.jpg#zhm#2 一个小孩正准备从一个游乐设施上滑下来。
2358554995_54ed3baa83.jpg#zhm#3 一个小孩子抓住两侧准备好滑下滑梯。
2358554995_54ed3baa83.jpg#zhm#4 准备好滑下滑梯的孩子。
2358561039_e215a8d6cd.jpg#zhm#0 一群雪橇犬拉着一名穿橙色背心的男子。
2358561039_e215a8d6cd.jpg#zhm#1 一个三只狗的队伍拉着不常见的三轮车雪橇。
2358561039_e215a8d6cd.jpg#zhm#2 几只狗拉着一个戴着头盔的男人穿过雪地。
2358561039_e215a8d6cd.jpg#zhm#3 几个狗拉着一个坐在某种自行车上的人，穿过雪地。
2358561039_e215a8d6cd.jpg#zhm#4 三只狗拉着一个在自行车上的男人穿过雪地。
2358898017_24496b80e8.jpg#zhm#0 一只棕白相间的狗躺在草地上。
2358898017_24496b80e8.jpg#zhm#1 一只狗蹲在草地上的一个跳栏旁边。
2358898017_24496b80e8.jpg#zhm#2 一只狗沿着草地上的小道快跑。
2358898017_24496b80e8.jpg#zhm#3 一只棕白相间的狗在完成敏捷测试。
2358898017_24496b80e8.jpg#zhm#4 在草地里玩耍着的棕白色的狗。
2370481277_a3085614c9.jpg#zhm#0 一群年轻的男孩在踢足球。
2370481277_a3085614c9.jpg#zhm#1 一个穿着绿衣服的小男孩正在踢一个足球，6个穿着裁判衣服的男孩正跟着他。
2370481277_a3085614c9.jpg#zhm#2 一个小男孩在踢足球，其他六个人也玩但却穿得像教练。
2370481277_a3085614c9.jpg#zhm#3 小男孩们在足球场上踢足球。
2370481277_a3085614c9.jpg#zhm#4 在一块足球场上小孩们在踢足球。
2373234213_4ebe9c4ee5.jpg#zhm#0 一个男孩在蹦床上跳过另一个男孩。
2373234213_4ebe9c4ee5.jpg#zhm#1 一个男孩在蹦床上跳过另一个男孩。
2373234213_4ebe9c4ee5.jpg#zhm#2 在蹦床上一个男孩从另一个男孩身上跳了过去。
2373234213_4ebe9c4ee5.jpg#zhm#3 一个小男孩在蹦床上跳过另一个小男孩。
2373234213_4ebe9c4ee5.jpg#zhm#4 两个在蹦床上跳的男孩。
2374652725_32f90fa15c.jpg#zhm#0 一只大白狗和一只小黑狗坐在雪地里。
2374652725_32f90fa15c.jpg#zhm#1 一只大白狗看着一只黑色的狗在雪地里奔跑。
2374652725_32f90fa15c.jpg#zhm#2 一只小狗和一只大狗在雪地里。
2374652725_32f90fa15c.jpg#zhm#3 一只高大的白色狗坐在那里，看着一只黑色的小狗围着他在雪地里跑来跑去。
2374652725_32f90fa15c.jpg#zhm#4 一只白色的狗在雪地里看着一只黑色的小狗。
2378149488_648e5deeac.jpg#zhm#0 一个带着纸做的王冠的男孩坐在购物车里。
2378149488_648e5deeac.jpg#zhm#1 一个年幼的男孩带着一顶纸皇冠，坐在一个购物车里。
2378149488_648e5deeac.jpg#zhm#2 购物车里带着红色皇冠的男孩。
2378149488_648e5deeac.jpg#zhm#3 坐在购物车里的穿着夹克戴着纸质皇冠的黑头发的小孩。
2378149488_648e5deeac.jpg#zhm#4 带着纸质皇冠的小孩坐在一个购物车里。
2384353160_f395e9a54b.jpg#zhm#0 一个戴着黑色帽子的男人对着镜头微笑。
2384353160_f395e9a54b.jpg#zhm#1 一个戴着帽子的男人正在为拍照摆姿势。
2384353160_f395e9a54b.jpg#zhm#2 戴着倾斜软呢帽的老人对着相机微微一笑。
2384353160_f395e9a54b.jpg#zhm#3 一个蓝眼睛的老人戴着一顶大黑帽。
2384353160_f395e9a54b.jpg#zhm#4 这个男人带着一顶黑色的帽子，穿着米色衬衫，他的墨镜挂在衬衫上。
2393264648_a280744f97.jpg#zhm#0 一个孩子在海滩上，而一个女人在附近拍照。
2393264648_a280744f97.jpg#zhm#1 一个穿着红衣服的小女孩在海滩上，一个成年人正按相机。
2393264648_a280744f97.jpg#zhm#2 一个男人和一个女孩正在海岸线，其中男人在拍照，女孩手里拿着一个玩偶。
2393264648_a280744f97.jpg#zhm#3 一个女人正在沙滩上拍着水边的景色，一个小女孩站在前面。
2393264648_a280744f97.jpg#zhm#4 一个女人在给海浪拍照，一个小孩在她前面。
2396025708_e4a72e2558.jpg#zhm#0 一个人在波浪中滑翔。
2396025708_e4a72e2558.jpg#zhm#1 一个人驶着风帆踏着浪。
2396025708_e4a72e2558.jpg#zhm#2 一个男人在海洋中风帆冲浪。
2396025708_e4a72e2558.jpg#zhm#3 一个人在浪尖滑翔。
2396025708_e4a72e2558.jpg#zhm#4 海浪里的一个帆板。
2396691909_6b8c2f7c44.jpg#zhm#0 一个穿着白裙子的女孩在一个穿着蓝裙子的女孩旁别走。
2396691909_6b8c2f7c44.jpg#zhm#1 一个穿着白裙的女人和一个穿着蓝裙的女人在台上。
2396691909_6b8c2f7c44.jpg#zhm#2 一个戴着珠宝化妆的年轻女孩在微笑。
2396691909_6b8c2f7c44.jpg#zhm#3 穿着带有星星图案的白色上衣的金发女孩站在穿着带有星星图案的蓝色上衣的褐发女孩的旁边。
2396691909_6b8c2f7c44.jpg#zhm#4 在一个活动中，两个青少年女孩正穿着漂亮的连衣裙。
2398605966_1d0c9e6a20.jpg#zhm#0 一只黑色的狗和一只棕色的狗在雪地里。
2398605966_1d0c9e6a20.jpg#zhm#1 小狗们在雪里玩耍。
2398605966_1d0c9e6a20.jpg#zhm#2 两只长毛的小狗在雪中嬉戏玩耍。
2398605966_1d0c9e6a20.jpg#zhm#3 在雪中玩耍的两只博美犬。
2398605966_1d0c9e6a20.jpg#zhm#4 两只一起在雪地里玩耍的小狗。
241031254_0c6f30e3d1.jpg#zhm#0 一个穿着白衬衫黑短裤的大胡子男人正在一条森林小路上徒步旅行。
241031254_0c6f30e3d1.jpg#zhm#1 一个穿着白色衬衫的男人正站在树林里的一条小路上。
